US_term,US_term_alias,US_abb,US_abb1,UK_term,UK_term_alias,UK_abb,UK_abb1,Chinese_term,Chinese_term_alias,Chinese_abb,Japanese,Japanese_alias,stitch_id,category,equivalence_group,symbol_file,search_status,ambiguity_note
chain,chain stitch,ch,,chain,,ch,,鎖針,辮子針|辫针,CH,鎖編み,,st_001_chain,basic_stitch,,chain.svg,active,
slip stitch,slst,sl st,,slip stitch,slst,ss,sl st,引拔針,,SL,引き抜き編み,,st_002_slip_stitch,basic_stitch,,sl_st.svg,active,
single crochet,,sc,,double crochet,,dc,,短針,,X,細編み,,st_003_single_crochet,basic_stitch,,sc_x.svg,active,
half double crochet,,hdc,,half treble crochet,,htr,,中長針,,T,中長編み目,中長編み,st_004_half_double_crochet,basic_stitch,,hdc.svg,active,
double crochet,,dc,,treble crochet,,tr,,長針,,F,長編み目,長編み,st_005_double_crochet,basic_stitch,,dc.svg,active,
treble crochet,triple crochet,tr,,double treble crochet,,dtr,,長長針,,E,長々編み目,長々編み,st_006_treble_crochet,basic_stitch,,tr.svg,active,
double treble crochet,double triple crochet,dtr,,triple treble crochet,,trtr,ttr,長長長針,三卷長針,,,三つ巻き長編み目,st_007_double_treble_crochet,basic_stitch,,dtr.svg,active,
triple treble crochet,,trtr,,quadruple treble crochet,,qtr,,四卷長針,,,,四つ巻き長編み目,st_008_triple_treble_crochet,basic_stitch,,,active,
increase,,inc,incr,increase,,inc,incr,加針,,V,増し目,,st_009_increase,increase,,increase.svg,active,
single crochet increase,,sc inc,sc incr,double crochet increase,,dc inc,dc incr,短針加針,,V,細編み2目編み入れる,,st_010_single_crochet_increase,increase,,increase.svg,active,
half double crochet increase,,hdc inc,hdc incr,half treble crochet increase,,htr inc,htr incr,中長針加針,,TV,中長編み2目編み入れる,,st_011_half_double_crochet_increase,increase,,hdc_inc.svg,active,
double crochet increase,,dc inc,dc incr,treble crochet increase,,tr inc,tr incr,長針加針,,FV,長編み2目編み入れる,,st_012_double_crochet_increase,increase,,dc_inc.svg,active,
treble crochet increase,triple crochet increase,tr inc,tr incr,double treble crochet increase,,dtr inc,dtr incr,長長針加針,,EV,長々編み2目編み入れる,,st_013_treble_crochet_increase,increase,,tr_inc.svg,active,
